,Open
0,40825.38
1,40126.3
2,40926.65
3,40506.13
4,41914.17
5,42859.35
6,42813.25
7,43739.81
8,43348.69
9,43774.68
10,43470.73
11,43566.32
12,44514.61
13,44314.01
14,44863.98
15,44508.76
16,44099.92
17,43572.95
18,43753.22
19,43567.53
20,43717.72
21,45779.42
22,45960.4
23,46059.53
24,46311.0
25,45753.42
26,45911.32
27,45387.09
28,45174.67
29,45519.08
30,45628.14
31,45612.0
32,46262.76
33,45889.31
34,46423.35
35,46361.91
36,45656.03
37,46021.2
38,45272.49
39,44763.18
40,44276.91
41,44438.03
42,44495.21
43,45315.3
44,46125.25
45,46239.36
46,46359.06
47,46329.66
48,47760.11
49,47532.32
50,47623.16
51,46572.49
52,46978.36
53,47156.96
54,47088.85
55,46923.97
56,45756.97
57,46060.59
58,46172.8
59,46358.52
60,47025.0
61,47385.26
62,47304.28
63,47414.47
64,46360.22
65,46262.22
66,45999.28
67,46387.71
68,45927.68
69,46970.34
70,45727.59
71,45427.44
72,44534.45
73,45030.1
74,45046.34
75,44809.22
76,45753.34
77,44894.63
78,44790.95
79,44217.62
80,44496.36
81,44352.29
82,45786.22
83,46741.31
84,46745.03
85,47050.81
86,46826.44
87,46898.14
88,48478.94
89,48691.87
90,49195.88
91,48844.53
92,48922.93
93,48572.97
94,49236.3
95,49021.21
96,48867.88
97,48789.26
98,49197.53
99,49061.08
100,48511.7
101,48544.36
102,49237.27
103,50169.54
104,50065.26
105,50311.82
106,49533.17
107,49256.7
108,49518.58
109,49375.99
110,49710.77
111,49389.98
112,48365.32
113,48525.15
114,47804.62
115,48140.33
116,48220.1
117,47595.64
118,48742.86
119,48753.77
120,48989.51
121,47962.35
122,47055.69
123,46923.88
124,46774.5
125,47011.3
126,47229.07
127,46840.06
128,47472.32
129,47635.0
130,48283.61
131,48395.33
132,49083.1
133,48934.6
134,48956.51
135,48796.04
136,48804.79
137,48683.96
138,48936.54
139,48346.04
140,48563.96
141,48285.52
142,48560.43
143,48837.54
144,48907.27
145,48026.03
146,48011.7
147,47962.52
148,48162.74
149,48594.48
150,47124.25
151,47291.21
152,47854.55
153,47962.48
154,47472.56
155,47358.08
156,47335.42
157,47039.72
158,47202.02
159,47765.51
160,47534.39
161,48233.38
162,48823.06
163,49573.82
164,49759.21
165,50091.81
166,49630.25
167,49334.0
168,49341.32
169,49546.54
170,49262.95
171,50213.84
172,50504.31
173,50471.49
174,50027.64
175,50284.98
176,50231.27
177,49958.69
178,49849.14
179,49981.53
